status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
47298465905_10154465404615906,"b""Amanah MP says the bodek culture has gone overboard merely to prove the artistes community's loyalty to PM.""",b'Mujahid: Slapping incident brought shame to entire country',link,http://dlvr.it/P9hBQW,2017-05-17 23:11:07,1064,156,287
47298465905_10154465390455906,"b'Video | KiniTV: Moments after film director David Teo was attacked by comedian Sulaiman Yassin, better known as ""Mat Over"" in front of Prime Minister Najib Abdul Razak during a Transformasi Nasional 50 (TN50) dialogue session, both men were asked to return on stage to shake hands.'",b'David Teo shakes the hand that slapped him',link,http://www.kinitv.com/video/48374O8,2017-05-17 22:59:00,416,404,148
47298465905_10154465351420906,b'Red Granite lawyers have requested a deadline extension for the case.',"b'Red Granite in talks with DOJ to settle 1MDB-linked lawsuit, says report'",link,http://dlvr.it/P9gn3g,2017-05-17 22:37:08,43,16,20
47298465905_10154459901160906,b'The Malaysian Education Dilemma\nOne of the most outdated systems still up and running in Malaysia\n\nRead more at: http://vox.malaysiakini.com/en/24456\n#brandvoice',b'The Malaysian Education Dilemma',link,http://vox.malaysiakini.com/en/24456,2017-05-17 22:30:01,6,0,6
47298465905_10154465297200906,b'It was reportedly called off following protests that it would be hosted during fasting month.',b'LGBT event cancelled',link,http://dlvr.it/P9gKB6,2017-05-17 22:05:09,20,17,5
47298465905_10154465297110906,"b""Sulaiman Yassin says he slapped the film director, in front of the PM, to 'teach Teo some manners'.""",b'Comedian Mat Over does not regret assaulting David Teo',link,http://dlvr.it/P9gK14,2017-05-17 22:05:05,379,1221,216
47298465905_10154465234735906,"b'#Columns QUESTION TIME | \xe2\x80\x98The KiniTV news can\xe2\x80\x99t even be doctored because it is a video, and there is no question of it being fake.\xe2\x80\x99'",b'KiniTV prosecution shows gov\xe2\x80\x99t has scant regard for truth',link,http://dlvr.it/P9fyxk,2017-05-17 21:35:11,26,3,8
47298465905_10154465230765906,b'YOURSAY | \xe2\x80\x98The RM1m received by your party from Najib could be stolen funds\xe2\x80\xa6\xe2\x80\x99',"b'Marcus, it\xe2\x80\x99s wrong to accept allegedly stolen money'",link,http://dlvr.it/P9fyBc,2017-05-17 21:33:13,135,9,35
47298465905_10154465230685906,b'MP SPEAKS | The seemingly ad-hoc decision-making will only scare off future investors.',"b""Looks like Najib's making up Bandar M'sia plans as he goes along""",link,http://dlvr.it/P9fxv0,2017-05-17 21:33:10,51,15,25
47298465905_10154465147870906,"b'PKR leader spurns religious monism which leads others to tar Hannah with Christianisation, says Paul Tan.'",b'Bishop hails Nik Nazmi\xe2\x80\x99s defence of Hannah Yeoh',link,http://dlvr.it/P9fVKj,2017-05-17 21:01:11,210,3,35
47298465905_10154462556180906,b'Hearing Loss linked to dementia\n\nA 25-year study conducted in the U.S. shows a direct link between hearing loss and dementia.\n\nSign up for a free consultation at: http://bit.ly/2oOpm54\n#Brandvoice',b'Hearing aids consultation',link,http://bit.ly/2oOpm54,2017-05-17 20:30:00,3,0,3
47298465905_10154465080505906,b'However the S\xe2\x80\x99gor exco denies the party is doing it to garner votes.',"b""Iskandar admits PAS' syariah agenda did Pakatan in""",link,http://dlvr.it/P9f4zf,2017-05-17 20:28:04,26,10,6
47298465905_10154465023225906,"b'#Columns COMMENT | \xe2\x80\x98Perkasa is waging a muddled war on two fronts, the first with MIC and the second, MCA.\xe2\x80\x99'","b'Perkasa, you should worry that Najib is a Manchurian candidate'",link,http://dlvr.it/P9dgMV,2017-05-17 19:59:06,46,16,10
47298465905_10154464958030906,"b'KINI ROUNDUP | Here are key headlines from yesterday you may have missed, in brief.'","b""PM presses on with new Bandar M'sia plan; lecturer playing up 'Christian agenda'""",link,http://dlvr.it/P9dDYj,2017-05-17 19:23:45,15,1,3
47298465905_10154464957870906,b'Not all PAS grassroots are keen to see the PKR split turn into a bloodbath at the next GE.',"b""In S'gor, not all sold on PAS-PKR polls showdown""",link,http://dlvr.it/P9dDV1,2017-05-17 19:23:42,33,12,3
47298465905_10154464957620906,"b'YOURSAY | \xe2\x80\x98Why is a Muslim telling a non-Muslim what she can believe in, what to read to, and what to write?\xe2\x80\x99'",b'Are they doing to Yeoh what they did to Ahok?',link,http://dlvr.it/P9dDJP,2017-05-17 19:23:37,1066,241,435
47298465905_10154464957490906,b'Find out how you can help.',b'School for stateless Sabahans seeks public contributions',link,http://dlvr.it/P9dD3t,2017-05-17 19:23:34,34,5,12
47298465905_10154464892955906,"b'However, Titiwangsa Umno man named by Rafizi denies knowledge of funds.'",b'Rafizi: RM2.6m SRC-linked funds used on media campaigns',link,http://dlvr.it/P9cmSZ,2017-05-17 18:51:10,49,7,14
47298465905_10154464337605906,,"b'Lecturer lodges report, accuses Yeoh of proselytisation'",link,http://www.malaysiakini.com/news/382493,2017-05-17 13:59:41,22,38,6
47298465905_10154464335145906,,"b""Najib: No turning back on axed Bandar M'sia deal with IWH-CREC""",link,https://www.malaysiakini.com/news/382521,2017-05-17 13:58:53,16,3,6
47298465905_10154463793575906,,b'VOX KINI',link,https://www.malaysiakini.com/news/382160,2017-05-17 10:53:17,6,0,0
47298465905_10154463792965906,,"b""Welcome to 'Pasar Karat' [Kini Lens]""",link,https://www.malaysiakini.com/photos/382386,2017-05-17 10:53:04,21,1,1
47298465905_10154463792400906,,b'VOX KINI',link,https://m.malaysiakini.com/news/380765,2017-05-17 10:52:45,4,0,0
47298465905_10154463762705906,"b""This after David Teo told off moderator Rosyam Nor for being 'choosy' in fielding questions.""",b'Slap and kick drama in front of PM at TN50 dialogue',link,http://dlvr.it/P9Rs1v,2017-05-17 10:40:09,356,135,187
47298465905_10154463761980906,,b'Film director attacked in front of PM during TN50 session',link,http://www.kinitv.com/video/48369O8,2017-05-17 10:39:55,1909,690,2125
47298465905_10154463713775906,,b'Slap and kick drama in front of PM at TN50 dialogue',link,http://www.malaysiakini.com/news/382585,2017-05-17 10:21:54,944,380,632
